姓名,拼音,笔划数,八字评分,五格评分,命主星宿,命宫,总分
周波,zhōu bō,16,88.0,88.0,（参）宿,坎宫（东四命）,176.0
周渝,zhōu yú,20,88.0,88.0,（参）宿,坎宫（东四命）,176.0
周渲,zhōu xuàn,20,88.0,88.0,（参）宿,坎宫（东四命）,176.0
周游,zhōu yóu,20,88.0,88.0,（参）宿,坎宫（东四命）,176.0
周渺,zhōu miǎo,20,88.0,88.0,（参）宿,坎宫（东四命）,176.0
周湄,zhōu méi,20,88.0,88.0,（参）宿,坎宫（东四命）,176.0
周湖,zhōu hú,20,88.0,88.0,（参）宿,坎宫（东四命）,176.0
周湘,zhōu xiāng,20,88.0,88.0,（参）宿,坎宫（东四命）,176.0
周湛,zhōu zhàn,20,88.0,88.0,（参）宿,坎宫（东四命）,176.0
周泯,zhōu mǐn,16,88.0,88.0,（参）宿,坎宫（东四命）,176.0
周泠,zhōu líng,16,88.0,88.0,（参）宿,坎宫（东四命）,176.0
周沛,zhōu pèi,15,88.0,88.0,（参）宿,坎宫（东四命）,176.0
周汇,zhōu huì,13,88.0,88.0,（参）宿,坎宫（东四命）,176.0
周沁,zhōu qìn,15,88.0,88.0,（参）宿,坎宫（东四命）,176.0
周佩,zhōu pèi,16,88.0,88.0,（参）宿,坎宫（东四命）,176.0
周沐,zhōu mù,15,88.0,88.0,（参）宿,坎宫（东四命）,176.0
周沙,zhōu shā,15,88.0,88.0,（参）宿,坎宫（东四命）,176.0
周沫,zhōu mò,16,88.0,88.0,（参）宿,坎宫（东四命）,176.0
周永,zhōu yǒng,13,72.0,92.0,（参）宿,坎宫（东四命）,164.0
周治,zhōu zhì,16,79.0,79.0,（参）宿,坎宫（东四命）,158.0
周沿,zhōu yán,16,79.0,79.0,（参）宿,坎宫（东四命）,158.0
周侯,zhōu hóu,17,79.0,79.0,（参）宿,坎宫（东四命）,158.0
周泳,zhōu yǒng,16,79.0,79.0,（参）宿,坎宫（东四命）,158.0
周涛,zhōu tāo,18,79.0,79.0,（参）宿,坎宫（东四命）,158.0
周泉,zhōu quán,17,79.0,79.0,（参）宿,坎宫（东四命）,158.0
周泓,zhōu hóng,16,79.0,79.0,（参）宿,坎宫（东四命）,158.0
周法,zhōu fǎ,16,79.0,79.0,（参）宿,坎宫（东四命）,158.0
周合,zhōu hé,14,67.0,67.0,（参）宿,坎宫（东四命）,134.0
周渊,zhōu yuān,19,67.0,67.0,（参）宿,坎宫（东四命）,134.0
周渌,zhōu lù,19,67.0,67.0,（参）宿,坎宫（东四命）,134.0
周水,zhōu shuǐ,12,67.0,67.0,（参）宿,坎宫（东四命）,134.0
周冯,zhōu féng,13,67.0,67.0,（参）宿,坎宫（东四命）,134.0
周溢,zhōu yì,21,67.0,67.0,（参）宿,坎宫（东四命）,134.0
周淼,zhōu miǎo,20,67.0,67.0,（参）宿,坎宫（东四命）,134.0
周仿,zhōu fǎng,14,67.0,67.0,（参）宿,坎宫（东四命）,134.0
周云,zhōu yún,12,67.0,67.0,（参）宿,坎宫（东四命）,134.0
周源,zhōu yuán,21,67.0,67.0,（参）宿,坎宫（东四命）,134.0
周清,zhōu qīng,19,67.0,67.0,（参）宿,坎宫（东四命）,134.0
周淇,zhōu qí,19,67.0,67.0,（参）宿,坎宫（东四命）,134.0
周添,zhōu tiān,19,67.0,67.0,（参）宿,坎宫（东四命）,134.0
周淋,zhōu lín,19,67.0,67.0,（参）宿,坎宫（东四命）,134.0
周淳,zhōu chún,19,67.0,67.0,（参）宿,坎宫（东四命）,134.0
周淅,zhōu xī,19,67.0,67.0,（参）宿,坎宫（东四命）,134.0
周溪,zhōu xī,21,67.0,67.0,（参）宿,坎宫（东四命）,134.0
周淑,zhōu shū,19,67.0,67.0,（参）宿,坎宫（东四命）,134.0
周汀,zhōu tīng,13,67.0,67.0,（参）宿,坎宫（东四命）,134.0
周淡,zhōu dàn,19,67.0,67.0,（参）宿,坎宫（东四命）,134.0
周洺,zhōu míng,17,54.0,79.0,（参）宿,坎宫（东四命）,133.0
周渠,zhōu qú,19,61.0,61.0,（参）宿,坎宫（东四命）,122.0
周涔,zhōu cén,18,61.0,61.0,（参）宿,坎宫（东四命）,122.0
周涓,zhōu juān,18,61.0,61.0,（参）宿,坎宫（东四命）,122.0
周海,zhōu hǎi,18,61.0,61.0,（参）宿,坎宫（东四命）,122.0
周浩,zhōu hào,18,61.0,61.0,（参）宿,坎宫（东四命）,122.0
周浛,zhōu hán,18,61.0,61.0,（参）宿,坎宫（东四命）,122.0
周习,zhōu xí,11,61.0,61.0,（参）宿,坎宫（东四命）,122.0
周浚,zhōu jùn,18,61.0,61.0,（参）宿,坎宫（东四命）,122.0
周涌,zhōu yǒng,18,61.0,61.0,（参）宿,坎宫（东四命）,122.0
周湾,zhōu wān,20,56.0,56.0,（参）宿,坎宫（东四命）,112.0
周涂,zhōu tú,18,31.0,61.0,（参）宿,坎宫（东四命）,92.0
